experiment,dataset,source,flip,estimator,bias,bias_sq,file_name
orig,data_1,,,aipw,-0.2518367271543338,0.06342173714380638,orig_estimators.json
orig,data_1,,,ipw,-0.10450667889826293,0.010921645934344634,orig_estimators.json
orig,data_1,,,outcome_regression,-0.2598062360393907,0.06749928028495558,orig_estimators.json
orig,data_1,,,tmle,-0.13022340281414324,0.01695813464049461,orig_estimators.json
orig,data_2,,,aipw,-0.05689615398713538,0.003237172338527821,orig_estimators.json
orig,data_2,,,ipw,0.10910248856713367,0.011903353011541534,orig_estimators.json
orig,data_2,,,outcome_regression,-0.06740623603939067,0.004543600656998049,orig_estimators.json
orig,data_2,,,tmle,0.10392904749996401,0.010801246914249775,orig_estimators.json
orig,data_3,,,aipw,-0.12263199043046741,0.01503860507693825,orig_estimators.json
orig,data_3,,,ipw,0.07177888207713745,0.005152207912243604,orig_estimators.json
orig,data_3,,,outcome_regression,-0.1302062360393907,0.016953663903545524,orig_estimators.json
orig,data_3,,,tmle,0.04926709732693468,0.0024272468790216546,orig_estimators.json
orig,data_4,,,aipw,-0.14611140011988022,0.021348541244991734,orig_estimators.json
orig,data_4,,,ipw,0.08409076499483492,0.0070712567574165545,orig_estimators.json
orig,data_4,,,outcome_regression,-0.16185623603939064,0.026197441144838938,orig_estimators.json
orig,data_4,,,tmle,0.1390541827742836,0.019336065747023873,orig_estimators.json
orig,data_5,,,aipw,-0.1130811885082092,0.012787355194429143,orig_estimators.json
orig,data_5,,,ipw,0.07638037230366546,0.005833961273246545,orig_estimators.json
orig,data_5,,,outcome_regression,-0.11920623603939062,0.014210126710678912,orig_estimators.json
orig,data_5,,,tmle,0.0494784501093109,0.002448117025219568,orig_estimators.json
pair_qhyb,data_1,llm,,aipw,-0.07090632662100388,0.005027707154884483,pair_qhyb_results.json
pair_qhyb,data_1,llm,,ipw,-0.013348343793735284,0.00017817828203575128,pair_qhyb_results.json
pair_qhyb,data_1,llm,,outcome_regression,-0.08422052175367639,0.007093096284461478,pair_qhyb_results.json
pair_qhyb,data_1,llm,,tmle,0.012600626634787448,0.00015877579158931485,pair_qhyb_results.json
pair_qhyb,data_1,gan,,aipw,-0.13492528009670623,0.01820483120917463,pair_qhyb_results.json
pair_qhyb,data_1,gan,,ipw,-0.07652025612420876,0.005855349597314509,pair_qhyb_results.json
pair_qhyb,data_1,gan,,outcome_regression,-0.14814909318224784,0.021948153810722352,pair_qhyb_results.json
pair_qhyb,data_1,gan,,tmle,-0.051823002760892356,0.002685623615155457,pair_qhyb_results.json
pair_qhyb,data_2,llm,,aipw,-0.028709693775137102,0.0008242465166621461,pair_qhyb_results.json
pair_qhyb,data_2,llm,,ipw,0.0352398975646655,0.0012418503803681175,pair_qhyb_results.json
pair_qhyb,data_2,llm,,outcome_regression,-0.045306595751620826,0.002052687618600786,pair_qhyb_results.json
pair_qhyb,data_2,llm,,tmle,0.0638901279401563,0.004081948448209542,pair_qhyb_results.json
pair_qhyb,data_2,gan,,aipw,-0.01853346472109657,0.0003434893145681312,pair_qhyb_results.json
