sample_size,sample_size_key,experiment,dataset,source,flip,estimator,estimate,ate_true,bias,abs_bias,bias_sq,file_name
100,n100,orig,data_1,,,aipw,0.3443483405475113,0.41825623603939066,-0.07390789549187937,0.07390789549187937,0.005462377016038563,orig_estimators_by_n.json
100,n100,orig,data_1,,,ipw,0.5386892207253393,0.41825623603939066,0.12043298468594865,0.12043298468594865,0.014504103800365943,orig_estimators_by_n.json
100,n100,orig,data_1,,,outcome_regression,0.336,0.41825623603939066,-0.08225623603939064,0.08225623603939064,0.006766088367367948,orig_estimators_by_n.json
100,n100,orig,data_1,,,tmle,0.5130530459087608,0.41825623603939066,0.09479680986937011,0.09479680986937011,0.008986435161409507,orig_estimators_by_n.json
100,n100,orig,data_2,,,aipw,0.19304799486982746,0.41825623603939066,-0.2252082411695632,0.2252082411695632,0.05071875189068814,orig_estimators_by_n.json
100,n100,orig,data_2,,,ipw,0.4888191922464103,0.41825623603939066,0.07056295620701963,0.07056295620701963,0.00497913078867377,orig_estimators_by_n.json
100,n100,orig,data_2,,,outcome_regression,0.18239999999999995,0.41825623603939066,-0.2358562360393907,0.2358562360393907,0.05562816407866879,orig_estimators_by_n.json
100,n100,orig,data_2,,,tmle,0.4233195988043057,0.41825623603939066,0.005063362764915036,0.005063362764915036,2.5637642489128037e-05,orig_estimators_by_n.json
100,n100,orig,data_3,,,aipw,0.25191595989012067,0.41825623603939066,-0.16634027614927,0.16634027614927,0.0276690874694154,orig_estimators_by_n.json
100,n100,orig,data_3,,,ipw,0.4798891818031246,0.41825623603939066,0.06163294576373396,0.06163294576373396,0.003798620003515372,orig_estimators_by_n.json
100,n100,orig,data_3,,,outcome_regression,0.24320000000000003,0.41825623603939066,-0.17505623603939063,0.17505623603939063,0.030644685776278848,orig_estimators_by_n.json
100,n100,orig,data_3,,,tmle,0.4099737293108617,0.41825623603939066,-0.008282506728528982,0.008282506728528982,6.859991770812786e-05,orig_estimators_by_n.json
100,n100,orig,data_4,,,aipw,0.08590818648003734,0.41825623603939066,-0.3323480495593533,0.3323480495593533,0.11045522604590637,orig_estimators_by_n.json
100,n100,orig,data_4,,,ipw,0.2565480695172886,0.41825623603939066,-0.16170816652210207,0.16170816652210207,0.02614953111993989,orig_estimators_by_n.json
100,n100,orig,data_4,,,outcome_regression,0.08449999999999999,0.41825623603939066,-0.33375623603939064,0.33375623603939064,0.11139322509518144,orig_estimators_by_n.json
100,n100,orig,data_4,,,tmle,0.08661016056134159,0.41825623603939066,-0.3316460754780491,0.3316460754780491,0.10998911937999183,orig_estimators_by_n.json
100,n100,orig,data_5,,,aipw,0.2609468314282194,0.41825623603939066,-0.15730940461117127,0.15730940461117127,0.024746248779121193,orig_estimators_by_n.json
100,n100,orig,data_5,,,ipw,0.4803405353256487,0.41825623603939066,0.06208429928625803,0.06208429928625803,0.0038544602178656588,orig_estimators_by_n.json
100,n100,orig,data_5,,,outcome_regression,0.26080000000000003,0.41825623603939066,-0.15745623603939063,0.15745623603939063,0.024792466267692298,orig_estimators_by_n.json
100,n100,orig,data_5,,,tmle,0.33589758200359765,0.41825623603939066,-0.08235865403579301,0.08235865403579301,0.006782947894587444,orig_estimators_by_n.json
200,n200,orig,data_1,,,aipw,0.16641950888505683,0.41825623603939066,-0.2518367271543338,0.2518367271543338,0.06342173714380638,orig_estimators_by_n.json
200,n200,orig,data_1,,,ipw,0.31374955714112773,0.41825623603939066,-0.10450667889826293,0.10450667889826293,0.010921645934344634,orig_estimators_by_n.json
200,n200,orig,data_1,,,outcome_regression,0.15845,0.41825623603939066,-0.2598062360393907,0.2598062360393907,0.06749928028495558,orig_estimators_by_n.json
