experiment,source,flip,estimator,n_seeds,mse,rmse,mean_bias,mean_abs_bias
orig,,,aipw,5,0.023166682199738664,0.15220605178421345,-0.1381114920400052,0.1381114920400052
orig,,,ipw,5,0.008176484977758575,0.09042391817300649,0.047369165808901714,0.08917183736820689
orig,,,outcome_regression,5,0.0258808225402034,0.1608751768925318,-0.14769623603939067,0.14769623603939067
orig,,,tmle,5,0.010394162241201895,0.10195176428685232,0.04230107497926999,0.09439043610492728
pair_qhyb,gan,,aipw,5,0.005230805064241462,0.07232430479611582,-0.052917661990280404,0.052917661990280404
pair_qhyb,gan,,ipw,5,0.0017171429313182257,0.04143842336911753,-0.006576468219373632,0.03499044037768315
pair_qhyb,gan,,outcome_regression,5,0.007240413525894643,0.08509061949412898,-0.06955756076822363,0.06955756076822363
pair_qhyb,gan,,tmle,5,0.00402420614567867,0.06343663094520917,0.038441423751471505,0.05917062485582845
pair_qhyb,llm,,aipw,5,0.0022092026884205085,0.047002156210332616,-0.03244037525997938,0.04413366305245188
pair_qhyb,llm,,ipw,5,0.0012684552666897945,0.03561537963703033,0.0189812446033083,0.02435432901918162
pair_qhyb,llm,,outcome_regression,5,0.0033402716800792404,0.05779508352861202,-0.047275732101917226,0.05231007979142412
pair_qhyb,llm,,tmle,5,0.004299818456382813,0.06557300097130536,0.0557264764362113,0.0557264764362113
pair_qhyb_flip,gan,flip_10,aipw,5,0.010605766202657572,0.10298430075821059,-0.07752518534458315,0.0899442806236083
pair_qhyb_flip,gan,flip_10,ipw,5,0.005824186753316034,0.07631635967023082,-0.03528099772531064,0.06723996659035907
pair_qhyb_flip,gan,flip_10,outcome_regression,5,0.013088747728667516,0.11440606508689789,-0.09247100149224464,0.09749131409403224
pair_qhyb_flip,gan,flip_10,tmle,5,0.005332159769118547,0.07302163904705608,0.004267261012354462,0.059206868858604066
pair_qhyb_flip,gan,flip_20,aipw,5,0.02551673169534377,0.15973957460611873,-0.14082180780671036,0.14082180780671036
pair_qhyb_flip,gan,flip_20,ipw,5,0.012973255225755908,0.11390019853255703,-0.09187415233700631,0.09187415233700631
pair_qhyb_flip,gan,flip_20,outcome_regression,5,0.029698072050027873,0.17233128575516368,-0.15500147820772087,0.15500147820772087
pair_qhyb_flip,gan,flip_20,tmle,5,0.00995184263090419,0.09975892256286747,-0.06139896296076412,0.07017244879992138
pair_qhyb_flip,gan,flip_5,aipw,5,0.008195174151537008,0.0905272011692453,-0.06806476768956614,0.06836349718631342
pair_qhyb_flip,gan,flip_5,ipw,5,0.0037512062303308473,0.06124709160711917,-0.018496121533708297,0.03575942352630779
pair_qhyb_flip,gan,flip_5,outcome_regression,5,0.010328319654889432,0.10162834080555203,-0.08295955542167895,0.08295955542167896
pair_qhyb_flip,gan,flip_5,tmle,5,0.004689711724640157,0.06848146993632771,0.01803738904954022,0.06224150222440723
pair_qhyb_flip,llm,flip_10,aipw,5,0.005856540153023893,0.07652803507881209,-0.05402517890096133,0.05402517890096133
pair_qhyb_flip,llm,flip_10,ipw,5,0.0033089667710053195,0.0575236192446661,-0.004516076051974927,0.04174191152047648
pair_qhyb_flip,llm,flip_10,outcome_regression,5,0.00792788231692658,0.08903865630683439,-0.07221832513823079,0.07221832513823079
pair_qhyb_flip,llm,flip_10,tmle,5,0.006227104786035605,0.07891200660251649,0.04133966564167583,0.07684807010882802
pair_qhyb_flip,llm,flip_20,aipw,5,0.03271513558531633,0.18087325834770693,-0.16925078852341863,0.16925078852341863
pair_qhyb_flip,llm,flip_20,ipw,5,0.01958171839716114,0.13993469332928535,-0.127961813926381,0.127961813926381
pair_qhyb_flip,llm,flip_20,outcome_regression,5,0.036438762374192454,0.19088939827605003,-0.18065893551031603,0.18065893551031603
pair_qhyb_flip,llm,flip_20,tmle,5,0.01589834509931796,0.12608863985037655,-0.10130562808722676,0.10401724728600015
pair_qhyb_flip,llm,flip_5,aipw,5,0.007117166947558029,0.08436330332293793,-0.05827035920564512,0.06109666576747582
pair_qhyb_flip,llm,flip_5,ipw,5,0.003065514861389452,0.05536709186321286,-0.010527830624603806,0.03805179602248734
pair_qhyb_flip,llm,flip_5,outcome_regression,5,0.008795433202201844,0.09378397092361702,-0.07362343150302794,0.07362343150302794
pair_qhyb_flip,llm,flip_5,tmle,5,0.005639881793962207,0.07509914642632236,0.028021276248138004,0.0700480985237092
self_supervised,gan,,aipw,5,0.027576501102542884,0.1660617388278916,-0.14946388700904312,0.14946388700904312
self_supervised,gan,,ipw,5,0.015325247124602818,0.12379518215424548,-0.10259863951690491,0.10259863951690491
self_supervised,gan,,outcome_regression,5,0.033000635450531085,0.1816607702574529,-0.16656241217703244,0.16656241217703247
self_supervised,gan,,tmle,5,0.009336695929159637,0.09662657982749694,-0.05763592194078937,0.07146064758809803
self_supervised,llm,,aipw,5,0.03635361010686612,0.19066622696971303,-0.17428148347360387,0.17428148347360387
self_supervised,llm,,ipw,5,0.02176024862820749,0.1475135540491364,-0.1285545803332913,0.1285545803332913
self_supervised,llm,,outcome_regression,5,0.04085477961013439,0.20212565302339627,-0.18847071856126646,0.18847071856126646
self_supervised,llm,,tmle,5,0.01929229398313105,0.13889670256392359,-0.09408198521222139,0.09408198521222139
